pokedex_number,name,generation
458,Mantyke,4
459,Snover,4
460,Mega Abomasnow,4
461,Weavile,4
462,Magnezone,4
463,Lickilicky,4
464,Rhyperior,4
465,Tangrowth,4
466,Electivire,4
467,Magmortar,4
468,Togekiss,4
469,Yanmega,4
470,Leafeon,4
471,Glaceon,4
472,Gliscor,4
473,Mamoswine,4
474,Porygon-Z,4
475,Mega Gallade,4
476,Probopass,4
477,Dusknoir,4
478,Froslass,4
479,Heat Rotom,4
480,Uxie,4
481,Mesprit,4
482,Azelf,4
483,Dialga,4
484,Palkia,4
485,Heatran,4
486,Regigigas,4
487,Giratina Origin Forme,4
488,Cresselia,4
489,Phione,4
490,Manaphy,4
491,Darkrai,4
492,Shaymin Sky Forme,4
493,Arceus,4
494,Victini,5
495,Snivy,5
496,Servine,5
497,Serperior,5
498,Tepig,5
499,Pignite,5
500,Emboar,5
501,Oshawott,5
502,Dewott,5
503,Samurott,5
504,Patrat,5
505,Watchog,5
506,Lillipup,5
507,Herdier,5
508,Stoutland,5
509,Purrloin,5
510,Liepard,5
511,Pansage,5
512,Simisage,5
513,Pansear,5
514,Simisear,5
515,Panpour,5
516,Simipour,5
517,Munna,5
518,Musharna,5
519,Pidove,5
520,Tranquill,5
521,Unfezant,5
522,Blitzle,5
523,Zebstrika,5
524,Roggenrola,5
525,Boldore,5
526,Gigalith,5
527,Woobat,5
528,Swoobat,5
529,Drilbur,5
530,Excadrill,5
531,Audino,5
532,Timburr,5
533,Gurdurr,5
534,Conkeldurr,5
535,Tympole,5
536,Palpitoad,5
537,Seismitoad,5
538,Throh,5
539,Sawk,5
540,Sewaddle,5
541,Swadloon,5
542,Leavanny,5
543,Venipede,5
544,Whirlipede,5
545,Scolipede,5
546,Cottonee,5
547,Whimsicott,5
548,Petilil,5
549,Lilligant,5
550,Basculin Red-Striped Form,5
551,Sandile,5
552,Krokorok,5
553,Krookodile,5
554,Darumaka,5
555,Galarian Darmanitan Zen Mode,5
556,Maractus,5
557,Dwebble,5
558,Crustle,5
559,Scraggy,5
560,Scrafty,5
561,Sigilyph,5
562,Galarian Yamask,5
563,Cofagrigus,5
564,Tirtouga,5
565,Carracosta,5
566,Archen,5
567,Archeops,5
568,Trubbish,5
569,Garbodor,5
570,Zorua,5
571,Zoroark,5
572,Minccino,5
573,Cinccino,5
574,Gothita,5
575,Gothorita,5
576,Gothitelle,5
577,Solosis,5
578,Duosion,5
579,Reuniclus,5
580,Ducklett,5
581,Swanna,5
582,Vanillite,5
583,Vanillish,5
584,Vanilluxe,5
585,Deerling,5
586,Sawsbuck,5
587,Emolga,5
588,Karrablast,5
589,Escavalier,5
590,Foongus,5
591,Amoonguss,5
592,Frillish,5
593,Jellicent,5
594,Alomomola,5
595,Joltik,5
596,Galvantula,5
597,Ferroseed,5
598,Ferrothorn,5
599,Klink,5
600,Klang,5
601,Klinklang,5
602,Tynamo,5
603,Eelektrik,5
604,Eelektross,5
605,Elgyem,5
606,Beheeyem,5
607,Litwick,5
608,Lampent,5
609,Chandelure,5
610,Axew,5
611,Fraxure,5
612,Haxorus,5
613,Cubchoo,5
614,Beartic,5
615,Cryogonal,5
616,Shelmet,5
617,Accelgor,5
618,Galarian Stunfisk,5
619,Mienfoo,5
620,Mienshao,5
621,Druddigon,5
622,Golett,5
623,Golurk,5
624,Pawniard,5
625,Bisharp,5
626,Bouffalant,5
627,Rufflet,5
628,Braviary,5
629,Vullaby,5
630,Mandibuzz,5
631,Heatmor,5
632,Durant,5
633,Deino,5
634,Zweilous,5
635,Hydreigon,5
636,Larvesta,5
637,Volcarona,5
638,Cobalion,5
639,Terrakion,5
640,Virizion,5
641,Tornadus Incarnate Forme,5
642,Thundurus Incarnate Forme,5
643,Reshiram,5
644,Zekrom,5
645,Landorus Therian Forme,5
646,Black Kyurem,5
647,Keldeo Ordinary Forme,5
648,Meloetta Pirouette Forme,5
649,Genesect,5
650,Chespin,6
651,Quilladin,6
652,Chesnaught,6
653,Fennekin,6
654,Braixen,6
655,Delphox,6
656,Froakie,6
657,Frogadier,6
658,Ash-Greninja,6
659,Bunnelby,6
660,Diggersby,6
661,Fletchling,6
662,Fletchinder,6
663,Talonflame,6
664,Scatterbug,6
665,Spewpa,6
666,Vivillon,6
667,Litleo,6
668,Pyroar,6
669,Flab̩b̩,6
670,Floette,6
671,Florges,6
672,Skiddo,6
673,Gogoat,6
674,Pancham,6
675,Pangoro,6
676,Furfrou,6
677,Espurr,6
678,Meowstic Male,6
679,Honedge,6
680,Doublade,6
681,Aegislash Blade Forme,6
682,Spritzee,6
683,Aromatisse,6
684,Swirlix,6
685,Slurpuff,6
686,Inkay,6
687,Malamar,6
688,Binacle,6
689,Barbaracle,6
690,Skrelp,6
691,Dragalge,6
692,Clauncher,6
693,Clawitzer,6
694,Helioptile,6
695,Heliolisk,6
696,Tyrunt,6
697,Tyrantrum,6
698,Amaura,6
699,Aurorus,6
700,Sylveon,6
701,Hawlucha,6
702,Dedenne,6
703,Carbink,6
704,Goomy,6
705,Sliggoo,6
706,Goodra,6
707,Klefki,6
708,Phantump,6
709,Trevenant,6
710,Pumpkaboo Average Size,6
711,Gourgeist Super Size,6
712,Bergmite,6
713,Avalugg,6
714,Noibat,6
715,Noivern,6
716,Xerneas,6
717,Yveltal,6
718,Zygarde 50% Forme,6
719,Mega Diancie,6
720,Hoopa Hoopa Unbound,6
721,Volcanion,6
722,Rowlet,7
723,Dartrix,7
724,Decidueye,7
725,Litten,7
726,Torracat,7
727,Incineroar,7
728,Popplio,7
729,Brionne,7
730,Primarina,7
731,Pikipek,7
732,Trumbeak,7
733,Toucannon,7
734,Yungoos,7
735,Gumshoos,7
736,Grubbin,7
737,Charjabug,7
738,Vikavolt,7
739,Crabrawler,7
740,Crabominable,7
741,Oricorio Baile Style,7
742,Cutiefly,7
743,Ribombee,7
744,Rockruff,7
745,Lycanroc Dusk Form,7
746,Wishiwashi School Form,7
747,Mareanie,7
748,Toxapex,7
749,Mudbray,7
750,Mudsdale,7
751,Dewpider,7
752,Araquanid,7
753,Fomantis,7
754,Lurantis,7
755,Morelull,7
756,Shiinotic,7
757,Salandit,7
758,Salazzle,7
759,Stufful,7
760,Bewear,7
761,Bounsweet,7
762,Steenee,7
763,Tsareena,7
764,Comfey,7
765,Oranguru,7
766,Passimian,7
767,Wimpod,7
768,Golisopod,7
769,Sandygast,7
770,Palossand,7
771,Pyukumuku,7
772,Type: Null,7
773,Silvally,7
774,Minior Core Form,7
775,Komala,7
776,Turtonator,7
777,Togedemaru,7
778,Mimikyu,7
779,Bruxish,7
780,Drampa,7
781,Dhelmise,7
782,Jangmo-o,7
783,Hakamo-o,7
784,Kommo-o,7
785,Tapu Koko,7
786,Tapu Lele,7
787,Tapu Bulu,7
788,Tapu Fini,7
789,Cosmog,7
790,Cosmoem,7
791,Solgaleo,7
792,Lunala,7
793,Nihilego,7
794,Buzzwole,7
795,Pheromosa,7
796,Xurkitree,7
797,Celesteela,7
798,Kartana,7
799,Guzzlord,7
800,Ultra Necrozma,7
801,Magearna,7
802,Marshadow,7
803,Poipole,7
804,Naganadel,7
805,Stakataka,7
806,Blacephalon,7
807,Zeraora,7
808,Meltan,7
809,Melmetal,7
810,Grookey,8
811,Thwackey,8
812,Rillaboom,8
813,Scorbunny,8
814,Raboot,8
815,Cinderace,8
816,Sobble,8
817,Drizzile,8
818,Inteleon,8
819,Skwovet,8
820,Greedent,8
821,Rookidee,8
822,Corvisquire,8
823,Corviknight,8
824,Blipbug,8
825,Dottler,8
826,Orbeetle,8
827,Nickit,8
828,Thievul,8
829,Gossifleur,8
830,Eldegoss,8
831,Wooloo,8
832,Dubwool,8
833,Chewtle,8
834,Drednaw,8
835,Yamper,8
836,Boltund,8
837,Rolycoly,8
838,Carkol,8
839,Coalossal,8
840,Applin,8
841,Flapple,8
842,Appletun,8
843,Silicobra,8
844,Sandaconda,8
845,Cramorant,8
846,Arrokuda,8
847,Barraskewda,8
848,Toxel,8
849,Toxtricity Low Key Form,8
850,Sizzlipede,8
851,Centiskorch,8
852,Clobbopus,8
853,Grapploct,8
854,Sinistea,8
855,Polteageist,8
856,Hatenna,8
857,Hattrem,8
858,Hatterene,8
859,Impidimp,8
860,Morgrem,8
861,Grimmsnarl,8
862,Obstagoon,8
863,Perrserker,8
864,Cursola,8
865,Sirfetch'd,8
866,Mr. Rime,8
867,Runerigus,8
868,Milcery,8
869,Alcremie,8
870,Falinks,8
871,Pincurchin,8
872,Snom,8
873,Frosmoth,8
874,Stonjourner,8
875,Eiscue Ice Face,8
876,Indeedee Male,8
877,Morpeko Full Belly Mode,8
878,Cufant,8
879,Copperajah,8
880,Dracozolt,8
881,Arctozolt,8
882,Dracovish,8
883,Arctovish,8
884,Duraludon,8
885,Dreepy,8
886,Drakloak,8
887,Dragapult,8
888,Zacian Crowned Sword,8
889,Zamazenta Crowned Shield,8
890,Eternatus Eternamax,8
891,Kubfu,8
892,Urshifu Single Strike Style,8
893,Zarude,8
894,Regieleki,8
895,Regidrago,8
896,Glastrier,8
897,Spectrier,8
898,Calyrex Ice Rider,8
